"","geneID","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"48","SVE_0001013900",0,0,0,0,0,0.0889134489137999,0.126047357199198,0,0,0,0,0
"49","SVE_0001071900",0.0641420203296737,0.0628328759239156,0,0,0,0,0,0,0,0,0.0746413848058316,0
"50","SVE_0001100",0.324855091915695,0.127394800013375,0.0612527387092638,0.119853797608033,0.177658638388207,0.260353064493895,0.192621094578364,0.441864564866455,0.237506267551021,0.387089321321396,0.375562151792339,0.0737482757353448
"51","SVE_0001133000",0.199511719944769,0.133737518484094,0.140457998190985,0.0694032657693543,0.293544242254902,0.185254198110432,0.061195894104979,0.0605759241319777,0.0683498642762021,0,0,0.0604891728436982
"52","SVE_0001400",0.326609008764994,0.25694416405016,0.247229420927313,0.0602408474123494,0.092396232283061,0.181080242334603,0,0.24516416841045,0.229585499811971,0.0752807909128587,0.0733825334365573,0.0727952914473251
"53","SVE_0001700",0.0663007494413006,0.130222117281971,0,0,0,0,0.0638770512411825,0.125800486216424,0.15779699191035,0,0,0
"54","SVE_0001900",0.130912862358517,0.385348735010132,0.12309049843095,0.120383765336526,0.184391934292631,0.0896813924373986,0,0.0620876531722745,0.0779702202116881,0.229480598310405,0,0
"55","SVE_0003000",0.197136919661435,0.12868270368632,0.306298323265178,0.179867163967704,0.0909905534246588,0.446030256133554,0.128237474530372,0.126365321103733,0,0.0780436369671306,0,0
"56","SVE_0003700",0.323741681370569,0.317030175829636,0,0,0.175867467179177,0.257650688562044,0.128811254157208,0.442714137397976,0.235408348549891,0.46064719707033,0.147366990970134,0.434363561960547
"57","SVE_0004000",0,0.0766284953498304,0,0.202189456347215,0,0,0,0,0,0.126643465893959,1.00614565138562e-09,0
"58","SVE_0004700",0,0,0,0.0606887012570224,0,0,0.38759159795863,0.317190651074371,0.315004180225769,0.539337528316994,0.147970997175229,0.363440984940753
"59","SVE_0004800",0,0,0,0,0,0,0,0,0,0,0,0
"60","SVE_0005400",0,0,0,0,0,0,0.57596909543443,0.250902045026056,0.15678726034078,0.22995496936477,0.299573439028804,0.147214571893522
"61","SVE_0006300",0,0,0,0,0,0,0,0.0641989630820196,0,0,0,0
"62","SVE_0008500",0.0644724517027835,0,0,0,0,0,0.190822094429445,0.187656653507899,0,0.153813417342515,0.0748694848329905,0.0734896901687226
"63","SVE_0008600",0.0659513621873846,0,0.185607780124413,0.121114163520507,0,0,0.0650082641277621,0.063916474827994,0,0,0.153277732511258,0
"64","SVE_0008800",0.644463669878556,0.50506946366048,0,0,0,0.086576268768583,0.25351395274469,0.124725369548511,0.0785262518378403,0.383925340831782,0.149980106126125,0.0736708966578769
"65","SVE_0009000",0,0.12731566032427,0.181961551570735,0.237489713600671,0.0900979340160955,0.265006865191717,0.190191079167501,0.0623889066474965,0.157559048917985,0.154452947656631,0.0755973673231392,0.074662126706099
"66","SVE_0010200",0.45497701048187,0.127398833018602,0.553824776964412,0.240808812264958,0.177355670038789,0.0866281352990297,0.128727195655063,0.0632544483166582,0.23719485015782,0.154658377805417,0.149538896609216,0.0734273315770877
"67","SVE_0010600",0.196008989158545,0,0,0,0.37378744261024,0.456928709181317,0.0629025864435091,0.0620246971586353,0.0759910662863304,0,0,0.0695356681043455
"68","SVE_0010800",0.064679142442674,0.128413788052431,0,0,0,0.174686487889588,0.0651473477299447,0,0.157188261253139,0.0768767147664057,0,0.14570138303164
"69","SVE_0010900",0.0653069124628928,0,0,0.123079444330982,0.220335695887731,0.476995543465737,0.0652125610702187,0.255970888535582,0,0,0,0
